;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
10;  MARKET SET Screen XL lampa wisząca ;34;"https://lw-cdn.com/images/14CA9E3E19EB/k_035ca24ccdb926679a88840a31f6a064;w_353;h_353;q_70/market-set-screen-xl-lampa-wiszaca.jpg";2509,90zł;Designerska lampa wisząca Screen o mobilnym wyglądzie  Oprawa wisząca Screen daje wspaniały efekt nawet wtedy, gdy nie jest oświetlona, ponieważ dziesięć różnej wielkości elementów klosza o wiklinowym designie sprawia, że wygląda ona jak mobile i dzięki temu ma dużą wartość dekoracyjną dla wystroju wnętrza. Oprawka żarówki jest zamontowana pośrodku kloszy, żarówka (nie zawarta w zestawie) promieniuje swoim światłem równomiernie na wszystkie strony i rozświetla klosze. W rezultacie otrzymujemy przytulny efekt świetlny z bardzo estetyczną grą światła i cienia. Jasność można regulować za pomocą zewnętrznego ściemniacza.  Screen jest częścią corocznej kolekcji MARKET SET, młodej marki, pod którą francuska firma Corep SAS wprowadza na rynek modele z puli młodych projektantów.  ;50
11;  Lampa wisząca Fiona z falbaniastym kloszem ;34;"https://lw-cdn.com/images/D0FD1007D45A/k_5b78a91121e3351f723e51c2f7772f2d;w_353;h_353;q_70/lampa-wiszaca-fiona-z-falbaniastym-kloszem.jpg";173,90zł;Fiona – lampa wisząca z falbaniastym kloszem z papieru  Puchaty klosz lampy wiszącej Fiona składa się z wielu pojedynczych warstw papieru, które są rozdymane jak falbanki i nałożone na siebie. Żarówka z trzonkiem E27 (maks. 40 W, można stosować także żarówki LED) nastrojowo rozświetla klosz i zamienia białą oprawę świetlną w romantyczną lampę w sypialni. ;50
12;  Lampa wisząca LED Narisa Ø 46 cm różowa/brązowa ;34;"https://lw-cdn.com/images/54BB455F295F/k_5843aabe40790b28eaf65b31dcba0602;w_353;h_353;q_70/lampa-wiszaca-led-narisa-o-46-cm-rozowa-brazowa.jpg";1573,09zł;Fascynująco zaprojektowana oprawa wisząca Narisa LED  Wiele metalowych elementów, które składają się na cień oprawy wiszącej Narisa LED, ma kształt dużych i małych łyżek i jest pomalowanych w różowym złocie. Wewnątrz znajduje się akrylowy dyfuzor, który w jednolity sposób kształtuje światło emitowane przez zintegrowane lampy LED (G9) i kieruje je w dół. Ponadto, światło jest również kierowane do otoczenia poprzez wiele przestrzeni pomiędzy elementami. Ponadto, zarówno odbicia światła, jak i refleksy tworzą bardzo nastrojowy obraz świetlny.  Oprawa wisząca, która tworzy wrażenie zarówno jako podstawowe oświetlenie w pomieszczeniu, jak i źródło światła nad stołem jadalnym. ;50
13;  FLOS Smithfield S lampa wisząca ;34;"https://lw-cdn.com/images/A9BA0F2880C5/k_6e53c4c56e40e5cbc5646c7165b20588;w_353;h_353;q_70/flos-smithfield-s-lampa-wiszaca.jpg"; 2714,55zł ;Designerska lampa wisząca Smithfield marki FLOS  Lampa wisząca Smithfield jest wyposażona w cylindryczny i płaski klosz. Krawędzie są zaokrąglone u góry, dzięki czemu kształt wygląda bardzo nowocześnie. Poniżej, nad czterema źródłami światła, zamontowany jest dyfuzor z poliwęglanu, który rozprowadza światło równomiernie w dół. W ten sposób tabele mogą być użytecznie oświetlone. Smithfield może być również stosowany do oświetlenia ogólnego.  Lampa wisząca Smithfield została zaprojektowana przez Jaspera Morrisona i wyprodukowana w najwyższej jakości przez designerskiego producenta FLOS. Włoska firma znana jest ze współpracy z renomowanymi projektantami, a także z wysokiej jakości lamp Made in Italy. ;50
14;  MARKET SET Singapour XS lampa wisząca ;34;"https://lw-cdn.com/images/AA901BE7D020/k_1cd5a75489aeaa6f6be6b69bf29bb82c;w_353;h_353;q_70/market-set-singapour-xs-lampa-wiszaca.jpg";646,90zł;Oprawa wisząca Singapour XS z fascynującym efektem świetlnym  Ta oprawa wisząca jest czymś wyjątkowym: jej niezwykły design pochodzi z MARKET SET, marki, pod którą firma produkcyjna Corep SAS wprowadza na rynek innowacyjne projekty młodych, początkujących projektantów, z nową kolekcją każdego roku.  Szczególną atrakcją lampy Singapour XS jest klosz, a dokładniej połączenie dwóch różnej wielkości płóciennych kloszy i stożkowego klosza ze splotu rattanowego, umieszczonego pod dolnym kloszem z tkaniny. W trakcie emisji światła wyraźnie zaznacza się splot pod tkaniną. Oprawa wisząca, która idealnie nadaje się na przykład do nastrojowego oświetlenia stołu lub do oświetlenia podstawowego w salonach i sypialniach. Wyposażony w kabel tekstylny.  - ściemniane zewnętrznie ;50
15;  Tom Dixon Void mini lampa wisząca Ø 15,5 cm ;34;"https://lw-cdn.com/images/6E01BC65945E/k_d3b713829f342449cfc801d364bb120f;w_353;h_353;q_70/tom-dixon-void-mini-lampa-wiszaca-o-15-5-cm.jpg"; 725,12zł ;Lampa wisząca Void mini w stylu glamour  Inspiracją dla brytyjskiego projektanta Toma Dixona przy tworzeniu odcienia Void mini była kolba próżniowa. Metale półszlachetne uformowano w dwuścienny klosz i nadano mu błyszczące wykończenie, które dodatkowo wspaniale odbija światło emitowane przez zastosowaną lampę. Oprawa wisząca, która - umieszczona pojedynczo - jako źródło światła nad stołem jadalnym tworzy szczególnie piękne oświetlenie otoczenia z przytulną atmosferą. Ułożone w kilku rzędach odpowiednio oświetlają również długą ladę.  Designerska lampa brytyjskiego Toma Dixona, którego marka obecna jest już w 65 krajach na całym świecie. Za swoje zasługi dla brytyjskiego wzornictwa Dixon został odznaczony Orderem Imperium Brytyjskiego w 2001 roku. ;50
16;  Lucande Sotiana lampa wisząca szklane kule, 4-pkt. ;34;"https://lw-cdn.com/images/9301D99F798E/k_c4307eed1d16d40f334e2ae3925aef10;w_353;h_353;q_70/lucande-sotiana-lampa-wiszaca-szklane-kule-4-pkt.jpg"; 652,76zł ;4-punktowa lampa wisząca belka Sotiana z przezroczystymi szklanymi kulami - idealna do oświetlania miejsc do spożywania posiłków  Sotiana to lampa wisząca w kształcie belki z czterema pięknie ukształtowanymi kulistymi szkłami, które są całkowicie przezroczyste. Dzięki temu nic nie traci się na jasności żarówek, ale oczywiście przemawia to również za dobrą widocznością samych żarówek, dlatego też należy je dobierać starannie, tak aby stylowo uzupełniały ogólne wzornictwo. Żarówki rustykalne i filament w kształcie kropli i z technologią LED są więc tutaj źródłem światła pierwszego wyboru.   Wizualnie, Sotiana przekonuje nowoczesnym wyglądem, ale także walorami stylu vintage. Podstawa lub uchwyt sufitowy oraz belka wykonane są z metalu i są czarne, natomiast mosiężne oprawy lamp wyróżniają się stylowo i wraz ze szkłem tworzą elegancki, trójskładnikowy wygląd. Podłużna, 4-punktowa forma lampy wiszącej belki jest idealna do oświetlania stołu w jadalni.  ;50
17;  Lucande Filoreta lampa wisząca, 35 cm, biała ;34;"https://lw-cdn.com/images/5D874B58C1DF/k_196415e88b68b35d9d5d974973a61d2b;w_353;h_353;q_70/lucande-filoreta-lampa-wiszaca-35-cm-biala.jpg"; 247,89zł ;Biały wisior designerski Filoreta w okrągłym odcieniu metalu i mosiężnych detali - idealny nad stołem w kuchni  Jeśli chodzi o styl, to lampę wiszącą Filoreta można z pewnością sklasyfikować jako wzór z połowy wieku, który opiera się na wnętrzach z połowy dekad ubiegłego wieku i może być uznany w latach 40, 50 i 60. Charakteryzuje się on m.in. zredukowanymi kształtami geometrycznymi, które również tutaj można dostrzec, ponieważ metalowy klosz, mimo że ma kształt okrągły, jest całkowicie płaski, a zatem charakteryzuje się również pewną prostoliniowością. Ponadto metalowy klosz, który jest szczególnie ciężki i ma solidną konstrukcję, zapewnia, że światło wydostaje się tylko na dół i oświetla znajdujący się tam obszar w sposób skoncentrowany i jasny, podczas gdy w innym przypadku światło jest pozbawione olśnień i jest odbierane jako bardzo przyjemne.   Matowe, białe wykończenie metalu jest ponadczasowe i charakteryzuje się harmonią, a elementy ze szczotkowanego mosiądzu i tekstylny kabel w tym samym kolorze uzupełniają wygląd o niewielki kontrast. Oczywiste jest, że oprawa została zaprojektowana z dbałością o szczegóły, a każdy z nich na swój sposób przyczynia się do luksusowego wyglądu serii. Pobierz:   Instrukcja obsługi                    (366 KB) ;50
18;  Wyjątkowa lampa wisząca Carmina medium ;34;"https://lw-cdn.com/images/16FB52D7C64D/k_534e3292b291946399e0812f1aaaec39;w_353;h_353;q_70/wyjatkowa-lampa-wiszaca-carmina-medium.jpg";416,99zł;Lampa wisząca Carmina z kloszem o wyjątkowym designie  Klosz tej lampy wiszącej jest wykonany z polipropylenu i poliwęglanu i nie tłucze się. Jego design o stonowanych liniach należy rozumieć jako nawiązanie do pofałdowanego krajobrazu wydmowego na duńskim wybrzeżu. Carmina wzbogaca każde naturalnie zaprojektowane wnętrze o nordycki minimalistyczny design i miękkie, przytulne światło.   Lampa wisząca Carmina została stworzona we współpracy z dwoma projektantami: Sørenem Ravnem Christensenem – twórcą i współzałożycielem duńskiej firmy oświetleniowej UMAGE –oraz Andersem Klemem, który ukończył studia w Duńskiej Królewskiej Akademii Sztuk Pięknych/Szkole Designu w 2013 roku i pasjonuje się opracowywaniem nowoczesnych lamp.  UMAGE jest zaangażowana w rozwój historycznego skandynawskiego wzornictwa. Projekty firmy łączą w sobie estetykę, prostotę i funkcjonalność, dopełniając je starannym wykonaniem i ekologicznym podejściem do środowiska. Tak powstają niezwykłe designy o zrównoważonych proporcjach.Pobierz:   Instrukcja obsługi                    (1.8 MB)    Specyfikacja techniczna                    (1.5 MB) ;50
19;  Lucande Sakina lampa wisząca LED czarna Ø 49cm ;34;"https://lw-cdn.com/images/0C992EDADF0A/k_f138cd8bd16664dd60e9c8212cc7bf9b;w_353;h_353;q_70/lucande-sakina-lampa-wiszaca-led-czarna-o-49cm.jpg"; 457,64zł ;Lampa wisząca Swinging LED Sakina wykonana z żelaza o ciekawym kształcie  Lampa wisząca LED Sakina przekonuje swoim efektownym wyglądem. Klosz, wykonany z żelaza i aluminium, składa się z wąskiej rozpórki, która porusza się wokół siebie w sposób wymiatający. Stałe diody LED biegną wzdłuż tej belki, które wytwarzają ciepłe białe światło i rozdzielają je w pomieszczeniu w niezwykły sposób. Nowoczesny i różnorodny design sprawia, że doskonale nadaje się do salonu lub jadalni i stanowi miłe uzupełnienie wystroju wnętrza. Ponadto posiada on praktyczne funkcje techniczne, które zapewniają pewien stopień elastyczności w oświetleniu. Wyłącznik ścienny umożliwia włączanie i wyłączanie światła jak zwykle. Dzięki 3-stopniowej technologii ściemniania ze zintegrowaną funkcją wyłączania, można ją również przyciemnić do trzech różnych poziomów jasności poprzez kilkakrotne naciśnięcie przełącznika: 100 %, 40 % i 10 %. Wisząca oprawa Sakina LED tworzy efektowne akcenty na sufitach mieszkań i może być łatwo zintegrowana z nowoczesnym stylem wyposażenia. Pobierz:   Instrukcja obsługi                    (331 KB) ;50
20;  Lucande Lian lampa wisząca LED, czarna, aluminium ;34;"https://lw-cdn.com/images/DF4B598118F5/k_8d71197e15150b1ae8a028789767c962;w_353;h_353;q_70/lucande-lian-lampa-wiszaca-led-czarna-aluminium.jpg"; 1599,11zł ;Czarna lampa wisząca LED o regulowanej wysokości Lian z dwoma zakrzywionymi przesłonami, wykonana w Niemczech  Lampa wisząca LED Lian ma wydłużony kształt, przy czym przesłony są pięknie wygięte, a lampa może być również wykorzystywana jako oświetlenie stołu jadalnego. Jest to również wspierane przez regulację wysokości, ponieważ Lian może być regulowana w dowolnym momencie w zakresie od 105 cm do 195 cm podczas pracy, co zapewnia zwiększoną elastyczność. Lampa została wyprodukowana w Niemczech zgodnie z najwyższymi standardami jakości i posiada wykończenie powierzchni w kolorze czarnym, które zostało misternie wykonane ręcznie. Mocowanie sufitowe stanowi piękny kontrast, ponieważ jest utrzymane w matowym odcieniu aluminium i służy jako efektowny dodatek do całego wzornictwa.   Jeśli lampa wisząca LED ma być ściemniana, potrzebny jest zewnętrzny ściemniacz, który może być sterowany zarówno za pomocą odcinania fazy, jak i regulacji kąta fazowego. Światło wychodzi zarówno w górę, jak i w dół, oświetlając pomieszczenie zarówno bezpośrednio, jak i pośrednio, zapewniając w ten sposób najlepsze warunki dla naturalnie wyglądającego oświetlenia. Poziom oddawania barw jest szczególnie wysoki, dzięki czemu wszystkie odcienie barw w pomieszczeniu mogą być prezentowane w sposób niezmieniony.   Bardzo duża przestrzeń połączeniowa w puszce sufitowej umożliwia prosty i wygodny montaż lamp, w których wszystkie elementy wymagające schowania mogą być bezpiecznie i dobrze umieszczone.  Pobierz:   Instrukcja obsługi                    (269 KB) ;50
21;  &Tradition Formakami JH4 lampa wisząca ;34;"https://lw-cdn.com/images/44B3AB24A04F/k_ac6e3e56c562cad70df101160be59f74;w_353;h_353;q_70/tradition-formakami-jh4-lampa-wiszaca.jpg";638,13zł;Papierowa lampa ryżowa do zawieszania Formakami JH4 Jaime'a Hayona  Hiszpański projektant Jaim Hayon, posiadający studia w Hiszpanii, Włoszech i Japonii, ma bardzo oczywiste miękkie miejsce na japońskie lampy ryżowe. Swoją serię lamp Formakami opracował na wzór tradycyjnych lamp azjatyckich. Odcień objętościowy, pod którym znajdują się dwa gniazdka E27, wykonany jest z papieru ryżowego koloru kości słoniowej. Przerywają go ciemne detale wykonane z barwionego drewna dębowego.  Jaime Hayon widzi siebie jako artystę, projektanta i architekta wnętrz. Pasjonuje go rzemiosło i związane z nim szczegóły, tworzone ręcznie z miłością i talentem.  Duński producent oświetlenia i mebli &Tradition produkuje przede wszystkim klasyki wzornictwa, ale również aktualne, ponadczasowe produkty, które mają potencjał, aby stać się klasyką pewnego dnia. ;50
22;  Ekstrawagancka lampa wisząca Silvia mini, biała ;34;"https://lw-cdn.com/images/496CC4E6CEAF/k_3268895235c5ff6381919ccec8d2312f;w_353;h_353;q_70/ekstrawagancka-lampa-wiszaca-silvia-mini-biala.jpg";272,28zł;Nowoczesny i zarazem klasyczny element designerski: Lampa wisząca Silvia mini w kolorze białym  Charakterystycznym elementem designerskim tej lampy wiszącej Silvia jest klosz, który składa się z wielu naturalnie wyglądających, trójkątnych liści. Lampa wisząca Silvia przyciąga wzrok nawet wtedy, gdy jest wyłączona, gdy zaś światło jest załączone bardzo rozjaśnia pomieszczenie i gwarantuje bardzo zaakcentowane, wygodne oświetlenie ogólne lub powierzchniowe. Jako że ma barwę klasycznej bieli, można ją również łączyć z wieloma kolorami wnętrz.  UMAGE – firma z siedzibą w Danii – znana jest na całym świecie z estetycznych lamp, które emanują purystycznym pięknem skandynawskiego designu. Celem producenta jest połączenie funkcjonalności z prostym a zarazem pięknym designem oraz uwzględnienie interesów środowiska naturalnego, a tym samym zrównoważonego rozwoju swoich produktów przy uprawianiu rzemiosła.Pobierz:   Instrukcja obsługi                    (3.1 MB)    Specyfikacja techniczna                    (323 KB) ;50
23;  Lampa wisząca GOCCIA 45 w formie kropli ;34;"https://lw-cdn.com/images/B736A0397611/k_eaad270224462f2efd764f68419456a9;w_353;h_353;q_70/lampa-wiszaca-goccia-45-w-formie-kropli.jpg"; 1231,63zł ;Piękna lampa wisząca GOCCIA zapewni optymalne oświetlenie pomieszczenia  Forma lampy przypomina kroplę i kojarzy się z biżuteryjnymi przywieszkami. Jest przy tym prosta i szlachetna. Tworzą ją dwa, stykające się elementy ze szkła opalowego, tworzące jedną całość, którego centum zajmuje źródło światła. Górna, stożkowa część lampy znajduje swoje odwrócone odbicie w oprawie sufitowej. Lampa GOCCIA roztacza, dzięki swojej łagodnej formie, całkowicie swoisty urok. Może wisieć zarówno samodzielnie, jak i w grupie lamp, rozwieszonych pomysłowo, bez narzucania jakiegokolwiek ładu.  Pobierz:   Instrukcja obsługi                    (326 KB)    Specyfikacja techniczna                    (77 KB)    Photometric Data LDT                    (8 KB)    Light distribution curve                    (738 KB) ;50
