;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis
17;  Lucande Lounit lampa wisząca, czarno-złota, 1-pkt. ;34;"https://lw-cdn.com/images/CD4F37B7EAFC/k_296869f44b3b40537c58d81d7509f7f1;w_353;h_353;q_70/lucande-lounit-lampa-wiszaca-czarno-zlota-1-pkt.jpg"; Special Price  398,29zł ;Lampa wisząca o szlachetnym wzornictwie Lounit z metalowym kloszem w kolorze czarnym i złotym  W tej oprawie wiszącej pojedyncze, owalne, zaokrąglone, podłużne, metalowe segmenty są przymocowane do ramy oprawy za pomocą systemu wtykowego i razem tworzą klosz, który może służyć do radykalnej reinterpretacji klasycznego klosza. Podczas gdy zachowuje znany, okrągły kształt i zwężający się ku górze, ogólny projekt wydaje się nowy i wyjątkowy. Napięcie optyczne wynika z żartobliwej lekkości konstrukcji i solidnej, mocnej ekspresji głównego materiału jakim jest metal. Wiadomo, że jest to nieprzezroczyste, ale układ elementów tworzy jednak atrakcyjny obraz świetlny z uroczymi efektami, które czasami pojawiają się również jako piękne gry światła i cienia w pomieszczeniu. Rezultatem jest przyjemne, lekkie oświetlenie otoczenia, które wydaje się być przyjemne i przytulne, a także dobre oświetlenie użytecznych powierzchni, które są oświetlane w sposób wiązany, dzięki czemu lampa wisząca zorientowana na design bardzo dobrze nadaje się do oświetlania powierzchni stołu. Pobierz:   Instrukcja obsługi                    (419 KB) 
18;  FLOS Smithfield S lampa wisząca ;34;"https://lw-cdn.com/images/A9BA0F2880C5/k_6e53c4c56e40e5cbc5646c7165b20588;w_353;h_353;q_70/flos-smithfield-s-lampa-wiszaca.jpg"; Special Price  2714,55zł ;Designerska lampa wisząca Smithfield marki FLOS  Lampa wisząca Smithfield jest wyposażona w cylindryczny i płaski klosz. Krawędzie są zaokrąglone u góry, dzięki czemu kształt wygląda bardzo nowocześnie. Poniżej, nad czterema źródłami światła, zamontowany jest dyfuzor z poliwęglanu, który rozprowadza światło równomiernie w dół. W ten sposób tabele mogą być użytecznie oświetlone. Smithfield może być również stosowany do oświetlenia ogólnego.  Lampa wisząca Smithfield została zaprojektowana przez Jaspera Morrisona i wyprodukowana w najwyższej jakości przez designerskiego producenta FLOS. Włoska firma znana jest ze współpracy z renomowanymi projektantami, a także z wysokiej jakości lamp Made in Italy. 
19;  MARKET SET Singapour XS lampa wisząca ;34;"https://lw-cdn.com/images/AA901BE7D020/k_1cd5a75489aeaa6f6be6b69bf29bb82c;w_353;h_353;q_70/market-set-singapour-xs-lampa-wiszaca.jpg"; 646,90zł ;Oprawa wisząca Singapour XS z fascynującym efektem świetlnym  Ta oprawa wisząca jest czymś wyjątkowym: jej niezwykły design pochodzi z MARKET SET, marki, pod którą firma produkcyjna Corep SAS wprowadza na rynek innowacyjne projekty młodych, początkujących projektantów, z nową kolekcją każdego roku.  Szczególną atrakcją lampy Singapour XS jest klosz, a dokładniej połączenie dwóch różnej wielkości płóciennych kloszy i stożkowego klosza ze splotu rattanowego, umieszczonego pod dolnym kloszem z tkaniny. W trakcie emisji światła wyraźnie zaznacza się splot pod tkaniną. Oprawa wisząca, która idealnie nadaje się na przykład do nastrojowego oświetlenia stołu lub do oświetlenia podstawowego w salonach i sypialniach. Wyposażony w kabel tekstylny.  - ściemniane zewnętrznie 
20;  Lampa wisząca LED Narisa 5xG9, Ø47cm, biała ;34;"https://lw-cdn.com/images/F18AF4338FCC/k_f9a16c51931ef73ae942c7714cd9d570;w_353;h_353;q_70/lampa-wiszaca-led-narisa-5xg9-o47cm-biala.jpg"; 1268,21zł ;
21;  Axolight Mountain View lampa przezroczysty-chrom ;34;"https://lw-cdn.com/images/5FA918BA9A42/k_ecbc3f8e0bf32bea72dbf539154e829e;w_353;h_353;q_70/axolight-mountain-view-lampa-przezroczysty-chrom.jpg"; Special Price  7536,50zł ;Designerska lampa wisząca Mountain View ma zapierający dech w piersiach widok  Projektując tę nadzwyczajną lampę wisząca LED, rosyjski projektant Dima Loginoff wykonał kawał dobrej roboty: Jasność klasycznie ukształtowanego szklanego klosza z dmuchanego szkła stanowi perfekcyjną ramę dla górskiego masywu, który rozpościera się pod ochronnym szkłem, niczym zabezpieczony na wieczność. Górski krajobraz ze wszystkimi dolinami i wzniesieniami jest oświetlany przez zamontowane na środku u góry źródło światła LED o barwie ciepłej bieli, dzięki czemu powstaje wrażenie, jakby południowe słońce znajdowało się w zenicie, oświetlając góry pełnym blaskiem. Unikatowy wygląd Mountain View w połączeniu z najróżniejszymi stylami urządzenia wnętrz jest elementem przyciągającym wzrok, którego urokowi nie oprze się żaden obserwator. Ponadto ta ekstrawagancka designerska lampa wisząca LED włoskiego producenta lamp Axo Light, którego początki sięgają roku 1996 i który jest znany ze swoich wysokiej jakości produktów do przyjemnego oświetlenia otoczenia, które jest niezbędne dla stworzenia przytulnej atmosfery 
22;  Louis Poulsen PH 4/3 – lampa wisząca, 40 cm ;34;"https://lw-cdn.com/images/3EAABC1959B6/k_399fc7c666850aee54f2848eb32b8f2b;w_353;h_353;q_70/louis-poulsen-ph-4-3-lampa-wiszaca-40-cm.jpg"; 2030,00zł ;Atrakcyjnie zaprojektowana lampa wisząca PH 4/3 – 40 cm średnicy  Lampa wisząca PH 4/3 wygląda bardzo dekoracyjnie, gdy jest wyłączona. Ma ona bowiem atrakcyjny potrójny klosz. Gdy tylko światło zostanie włączone, ujawnia się prawdziwe piękno tego sprawdzonego i wizualnie ciągle nowego źródła światła.  Ponadczasowość designu sprawia, że obserwator nawet nie przypuszcza, że potrójna struktura klosza istnieje od 1925/26 roku, kiedy to duński projektant Poul Henningsen stworzył ten właśnie wariant, starając się uzyskać lampę, emitującą światło, które zupełnie nie oślepia. Podobnie jak klosze z tamtych czasów, tak samo i dziś klosz lampy wiszącej PH 4/3 wykonany jest z metalu, w tym przypadku z ciągnionego aluminium, lakierowanego na biało.  Światło emitowane przez lampę jest skierowane głównie w dół i bardzo równomiernie i komfortowo oświetla otoczenie, na przykład w jadalni.  Firma oświetleniowa Louis Poulsen przywiązuje dużą wagę do maksymy „forma podąża za funkcją”, która zapewnia, że światło jest uwzględnione w projektach i że produkty wyglądają estetycznie, gdy są włączone i wyłączone. Pobierz:   Instrukcja obsługi                    (837 KB)    Photometric Data LDT                    (837 Bytes) 
23;  New Works Tense lampa wisząca LED, recykling 100% ;34;"https://lw-cdn.com/images/101C071FB8F8/k_8ab76fed3f6292dcde6ee8619d0d7f75;w_353;h_353;q_70/new-works-tense-lampa-wiszaca-led-recykling-100.jpg"; 2228,90zł ;Wyrazista lampa wisząca LED Tense wykonana z materiału Tyvek nadającego się w 100% do recyklingu  Lampa wisząca Tense prezentuje się wdzięcznie i z pewną lekkością, która potrafi przekonać do siebie zarówno w nowoczesnych salonach, jak i w pomieszczeniach komercyjnych. Klosz, który składa się z papierowego i półprzezroczystego materiału Tyvek, w 100% nadaje się do recyklingu, a jego zwiewny wygląd przypomina delikatną chmurę. Innowacyjną konstrukcję oświetla najnowocześniejsza technologia oświetleniowa LED.  Lampa wisząca Tense pochodzi od New Works, duńskiego producenta oświetlenia, którego projekty oświetleniowe opierają się na skandynawskiej historii rzemiosła i materiałowości. Projektanci Panter & Tourron stworzyli w ten sposób oprawę oświetleniową, która swoim designem przesuwa granice współczesnego wzornictwa. 
24;  &Tradition Formakami JH4 lampa wisząca ;34;"https://lw-cdn.com/images/44B3AB24A04F/k_ac6e3e56c562cad70df101160be59f74;w_353;h_353;q_70/tradition-formakami-jh4-lampa-wiszaca.jpg"; 638,13zł ;Papierowa lampa ryżowa do zawieszania Formakami JH4 Jaime'a Hayona  Hiszpański projektant Jaim Hayon, posiadający studia w Hiszpanii, Włoszech i Japonii, ma bardzo oczywiste miękkie miejsce na japońskie lampy ryżowe. Swoją serię lamp Formakami opracował na wzór tradycyjnych lamp azjatyckich. Odcień objętościowy, pod którym znajdują się dwa gniazdka E27, wykonany jest z papieru ryżowego koloru kości słoniowej. Przerywają go ciemne detale wykonane z barwionego drewna dębowego.  Jaime Hayon widzi siebie jako artystę, projektanta i architekta wnętrz. Pasjonuje go rzemiosło i związane z nim szczegóły, tworzone ręcznie z miłością i talentem.  Duński producent oświetlenia i mebli &Tradition produkuje przede wszystkim klasyki wzornictwa, ale również aktualne, ponadczasowe produkty, które mają potencjał, aby stać się klasyką pewnego dnia. 
25;  Ekstrawagancka lampa wisząca Silvia mini, biała ;34;"https://lw-cdn.com/images/496CC4E6CEAF/k_3268895235c5ff6381919ccec8d2312f;w_353;h_353;q_70/ekstrawagancka-lampa-wiszaca-silvia-mini-biala.jpg"; 272,28zł ;Nowoczesny i zarazem klasyczny element designerski: Lampa wisząca Silvia mini w kolorze białym  Charakterystycznym elementem designerskim tej lampy wiszącej Silvia jest klosz, który składa się z wielu naturalnie wyglądających, trójkątnych liści. Lampa wisząca Silvia przyciąga wzrok nawet wtedy, gdy jest wyłączona, gdy zaś światło jest załączone bardzo rozjaśnia pomieszczenie i gwarantuje bardzo zaakcentowane, wygodne oświetlenie ogólne lub powierzchniowe. Jako że ma barwę klasycznej bieli, można ją również łączyć z wieloma kolorami wnętrz.  UMAGE – firma z siedzibą w Danii – znana jest na całym świecie z estetycznych lamp, które emanują purystycznym pięknem skandynawskiego designu. Celem producenta jest połączenie funkcjonalności z prostym a zarazem pięknym designem oraz uwzględnienie interesów środowiska naturalnego, a tym samym zrównoważonego rozwoju swoich produktów przy uprawianiu rzemiosła.Pobierz:   Instrukcja obsługi                    (3.1 MB)    Specyfikacja techniczna                    (323 KB) 
26;  Lampa wisząca GOCCIA 45 w formie kropli ;34;"https://lw-cdn.com/images/B736A0397611/k_eaad270224462f2efd764f68419456a9;w_353;h_353;q_70/lampa-wiszaca-goccia-45-w-formie-kropli.jpg"; Special Price  1231,63zł ;Piękna lampa wisząca GOCCIA zapewni optymalne oświetlenie pomieszczenia  Forma lampy przypomina kroplę i kojarzy się z biżuteryjnymi przywieszkami. Jest przy tym prosta i szlachetna. Tworzą ją dwa, stykające się elementy ze szkła opalowego, tworzące jedną całość, którego centum zajmuje źródło światła. Górna, stożkowa część lampy znajduje swoje odwrócone odbicie w oprawie sufitowej. Lampa GOCCIA roztacza, dzięki swojej łagodnej formie, całkowicie swoisty urok. Może wisieć zarówno samodzielnie, jak i w grupie lamp, rozwieszonych pomysłowo, bez narzucania jakiegokolwiek ładu.  Pobierz:   Instrukcja obsługi                    (326 KB)    Specyfikacja techniczna                    (77 KB)    Photometric Data LDT                    (8 KB)    Light distribution curve                    (738 KB) 
27;  Eos - duża lampa wisząca, jasnoszary klosz ;34;"https://lw-cdn.com/images/FE232828FD4B/k_a5037a76be1f1f7dd73aa2c086195b62;w_353;h_353;q_70/eos-duza-lampa-wiszaca-jasnoszary-klosz.jpg"; 1105,61zł ;Designerska lampa wisząca Eos large, jasnoszara  Duża lampa wisząca Eos natychmiast przyciąga wzrok, co z jednej strony wynika z jej niezwykłego wyglądu, a z drugiej związane jest z fantastycznymi efektami świetlnymi, jakie daje ta lampa wszędzie tam, gdzie się znajdzie. Zawdzięcza to zarówno samej konstrukcji klosza, jak i wykorzystywanym do jego stworzenia naturalnym materiałom. Jasnoszary klosz składa się z ok. 4 500 naturalnych gęsich piór. Tym samym Eos large stanowi wspaniałą atrakcję, zarówno wtedy, gdy jest wyłączona, jak i wtedy, kiedy ją załączymy.  Duńczyk Søren Ravn Christensen jest odpowiedzialny za design. Udało mu się w najpiękniejszy sposób wprowadzić w życie maksymę UMAGE, wedle której skandynawski design winien charakteryzować się czystym pięknem i naturalnością. Odbywa się to również z należytym uwzględnieniem kwestii ochrony środowiska i trwałości produktów.  Wskazówka: Jeśli na lampie osiądzie kurz, można go łatwo usunąć suszarką do włosów.  - Nie użyto tu piór żywych zwierząt.Pobierz:   Instrukcja obsługi                    (3.8 MB)    Specyfikacja techniczna                    (1.1 MB) 
28;  Lampa wisząca LED Narisa, Ø 18 cm chrom ;34;"https://lw-cdn.com/images/BC87333AA255/k_904376b6765246e0529602f29a85445e;w_353;h_353;q_70/lampa-wiszaca-led-narisa-o-18-cm-chrom.jpg"; 453,58zł ;Lampa kulista Narisa do zawieszania ze źródłem światła LED  Dzięki odbiciom światła dziennego wpadającego do pomieszczenia, oprawa wisząca Narisa LED tworzy wrażenie nawet wtedy, gdy jest nieoświetlona. Niezliczone chromowane elementy metalowe stają się jeszcze piękniejsze, gdy Narisa jest włączona, a diody LED promieniują swoim ciepłym białym światłem. Narisa to dekoracyjne źródło światła dla olśniewającego i pięknego oświetlenia pomieszczeń w nowoczesnych wnętrzach.  - łącznie z oświetlaczem LED (E27)  - Wysokość wahadła regulowana podczas montażu 
29;  Lampa wisząca Tulipani ze szkła z Murano, 45 cm ;34;"https://lw-cdn.com/images/079380D8B67A/k_4feae275ae230c9464ebc86614d569fe;w_353;h_353;q_70/lampa-wiszaca-tulipani-ze-szkla-z-murano-45-cm.jpg"; 3189,35zł ;Lampa wisząca Tulipani z przezroczystym i białym szkłem z Murano  Źródło światła jest niewidoczne w przypadku tej lampy wiszącej ze szkła z Murano, ponieważ zostało ono zakryte lekko wygiętymi szklanymi elementami. Światło jest przytłumiane przed wypłynięciem i wypełnia pomieszczenie w miękki i równomierny sposób. Szklane dekory przypominają swoim rozmieszczeniem pięknie zdobioną rybę lub upierzenie pięknego ptaka. Poszczególne elementy zostały polakierowane na środki w kolorze białym i zamykają obrzeże, co wygląda niezwykle elegancko. Dekoracyjna lampa wisząca na wiele okazji, do wielu stylów i pomieszczeń. 
30;  UMAGE Carmina mini lampa wisząca biała ;34;"https://lw-cdn.com/images/F69E721309E8/k_8c74fa1d3fcdd84bced64159f34bf8a0;w_353;h_353;q_70/umage-carmina-mini-lampa-wiszaca-biala.jpg"; 308,86zł ;Stylowe ucieleśnienie skandynawskiej estetyki: Lampa wisząca Carmina mini  Lampa wisząca Carmina mini nie jest tak delikatna, jak sugerowałoby to jej subtelne światło. Klosz jest wykonany z polipropylenu i poliwęglanu, co sprawia, że jest nie do złamania, a sama piękna lampa wisząca robi również duże wrażenie dzięki swemu designowi. Carmina mini pasuje do wielu wariantów aranżacji wnętrz i zachwyca niepowtarzalnymi efektami świetlnymi.  Søren Ravn Christensen, współzałożyciel i twórca duńskiej firmy produkującej lampy, UMAGE, oraz Anders Klem, który po ukończeniu Duńskiej Królewskiej Akademii Sztuk Pięknych/Szkoły Designu w 2013 roku poświęcił się opracowaniu nowoczesnych kreacji oświetleniowych, to dwaj designerzy, którzy tworząc ten fantastyczny projekt zainspirowani byli pięknem pofałdowanego krajobrazu duńskiego wybrzeża.  Firma UMAGE, tworząc swoje produkty, koncentruje się na dalszym rozwoju skandynawskiego designu, uwzględniając aspekty funkcjonalności, piękna i prostoty. Dzięki starannemu wykonaniu z uwzględnieniem ekologicznego podejścia do środowiska UMAGE tworzy lampy o trwałym pięknie i zrównoważonych proporcjach.
