;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis
10;  Lampa wisząca Fiona z falbaniastym kloszem ;34;"https://lw-cdn.com/images/D0FD1007D45A/k_5b78a91121e3351f723e51c2f7772f2d;w_353;h_353;q_70/lampa-wiszaca-fiona-z-falbaniastym-kloszem.jpg";173,90zł;Fiona – lampa wisząca z falbaniastym kloszem z papieru  Puchaty klosz lampy wiszącej Fiona składa się z wielu pojedynczych warstw papieru, które są rozdymane jak falbanki i nałożone na siebie. Żarówka z trzonkiem E27 (maks. 40 W, można stosować także żarówki LED) nastrojowo rozświetla klosz i zamienia białą oprawę świetlną w romantyczną lampę w sypialni. 
11;  MARKET SET Screen XL lampa wisząca ;34;"https://lw-cdn.com/images/14CA9E3E19EB/k_035ca24ccdb926679a88840a31f6a064;w_353;h_353;q_70/market-set-screen-xl-lampa-wiszaca.jpg";2509,90zł;Designerska lampa wisząca Screen o mobilnym wyglądzie  Oprawa wisząca Screen daje wspaniały efekt nawet wtedy, gdy nie jest oświetlona, ponieważ dziesięć różnej wielkości elementów klosza o wiklinowym designie sprawia, że wygląda ona jak mobile i dzięki temu ma dużą wartość dekoracyjną dla wystroju wnętrza. Oprawka żarówki jest zamontowana pośrodku kloszy, żarówka (nie zawarta w zestawie) promieniuje swoim światłem równomiernie na wszystkie strony i rozświetla klosze. W rezultacie otrzymujemy przytulny efekt świetlny z bardzo estetyczną grą światła i cienia. Jasność można regulować za pomocą zewnętrznego ściemniacza.  Screen jest częścią corocznej kolekcji MARKET SET, młodej marki, pod którą francuska firma Corep SAS wprowadza na rynek modele z puli młodych projektantów.  
12;  Lampa wisząca LED Narisa Ø 46 cm różowa/brązowa ;34;"https://lw-cdn.com/images/54BB455F295F/k_5843aabe40790b28eaf65b31dcba0602;w_353;h_353;q_70/lampa-wiszaca-led-narisa-o-46-cm-rozowa-brazowa.jpg";1573,09zł;Fascynująco zaprojektowana oprawa wisząca Narisa LED  Wiele metalowych elementów, które składają się na cień oprawy wiszącej Narisa LED, ma kształt dużych i małych łyżek i jest pomalowanych w różowym złocie. Wewnątrz znajduje się akrylowy dyfuzor, który w jednolity sposób kształtuje światło emitowane przez zintegrowane lampy LED (G9) i kieruje je w dół. Ponadto, światło jest również kierowane do otoczenia poprzez wiele przestrzeni pomiędzy elementami. Ponadto, zarówno odbicia światła, jak i refleksy tworzą bardzo nastrojowy obraz świetlny.  Oprawa wisząca, która tworzy wrażenie zarówno jako podstawowe oświetlenie w pomieszczeniu, jak i źródło światła nad stołem jadalnym. 
13;  Lucande Filoreta lampa wisząca, 45 cm, czarna ;34;"https://lw-cdn.com/images/A4BA886594AC/k_c214560d0165f28cfd224e711ba30b63;w_353;h_353;q_70/lucande-filoreta-lampa-wiszaca-45-cm-czarna.jpg"; 343,82zł ;Czarny metalowy wisior Filoreta z mosiężnymi detalami - szlachetny wzór do kuchni i salonu  Wysokiej jakości obrobiony wisior Filoreta posiada okrągły klosz, który wykonany jest z metalu ciężkiego w solidnej konstrukcji i jednocześnie uosabia prostą elegancję. Czarna powierzchnia odcienia jest uzupełniona innymi wybranymi detalami w szczotkowanym mosiądzu oraz kablem z poszyciem tekstylnym w dopasowanych kolorach. Rezultatem jest luksusowy projekt oprawy, inspirowany stylem biodrowym z połowy wieku, który ma niepowtarzalny wygląd retro i nawiązuje do wzornictwa środkowych dekad ubiegłego wieku. Projekt ten charakteryzuje się m.in. zredukowanymi kształtami geometrycznymi, które można znaleźć również tutaj, ponieważ odcień jest okrągły, ale płaski i prosty.  Metalowy klosz sam w sobie jest nieprzezroczysty i emituje światło z trzech lamp E27 tylko w dół, dzięki czemu powierzchnia stołu w kuchni lub jadalni w salonie jest jasno oświetlona, a reszta otoczenia jest przyjemnie i bez olśnień, przy czym efekt ten zależy oczywiście również od wysokości mocowania. Efektem jest piękne światło dzienne, które nadaje stylowy wygląd wielu pomieszczeniom i stylom. Pobierz:   Instrukcja obsługi                    (368 KB) 
14;  Lucande Lian lampa wisząca LED, czarna, aluminium ;34;"https://lw-cdn.com/images/DF4B598118F5/k_8d71197e15150b1ae8a028789767c962;w_353;h_353;q_70/lucande-lian-lampa-wiszaca-led-czarna-aluminium.jpg"; 1599,11zł ;Czarna lampa wisząca LED o regulowanej wysokości Lian z dwoma zakrzywionymi przesłonami, wykonana w Niemczech  Lampa wisząca LED Lian ma wydłużony kształt, przy czym przesłony są pięknie wygięte, a lampa może być również wykorzystywana jako oświetlenie stołu jadalnego. Jest to również wspierane przez regulację wysokości, ponieważ Lian może być regulowana w dowolnym momencie w zakresie od 105 cm do 195 cm podczas pracy, co zapewnia zwiększoną elastyczność. Lampa została wyprodukowana w Niemczech zgodnie z najwyższymi standardami jakości i posiada wykończenie powierzchni w kolorze czarnym, które zostało misternie wykonane ręcznie. Mocowanie sufitowe stanowi piękny kontrast, ponieważ jest utrzymane w matowym odcieniu aluminium i służy jako efektowny dodatek do całego wzornictwa.   Jeśli lampa wisząca LED ma być ściemniana, potrzebny jest zewnętrzny ściemniacz, który może być sterowany zarówno za pomocą odcinania fazy, jak i regulacji kąta fazowego. Światło wychodzi zarówno w górę, jak i w dół, oświetlając pomieszczenie zarówno bezpośrednio, jak i pośrednio, zapewniając w ten sposób najlepsze warunki dla naturalnie wyglądającego oświetlenia. Poziom oddawania barw jest szczególnie wysoki, dzięki czemu wszystkie odcienie barw w pomieszczeniu mogą być prezentowane w sposób niezmieniony.   Bardzo duża przestrzeń połączeniowa w puszce sufitowej umożliwia prosty i wygodny montaż lamp, w których wszystkie elementy wymagające schowania mogą być bezpiecznie i dobrze umieszczone.  Pobierz:   Instrukcja obsługi                    (269 KB) 
15;  Lucande Parena lampa wisząca ze szklanymi kloszami ;34;"https://lw-cdn.com/images/D27F67C957CA/k_201fd7f2f8a729a8678a0fefe9251a37;w_353;h_353;q_70/lucande-parena-lampa-wiszaca-ze-szklanymi-kloszami.jpg"; 906,42zł ;Dziewięciolampowa lampa wisząca Parena z kloszami ze szkła  Lampa wisząca Parena przekonuje nowoczesnym wyglądem, który charakteryzuje się kontrastami kolorów i materiałów. Obudowa tej lampy została wykonana z solidnego żelaza i poddana obróbce z matowym, czarnym wykończeniem. Klosze wykonane są ze szkła i stanowią piękny kontrast dla ramy.  Parena oferuje dobre oświetlenie dzięki dziewięciu palącym się punktom i może być umieszczona zarówno nad ladą, jak i nad większym stołem w jadalni. Wykorzystanie jest możliwe zarówno we własnych czterech ścianach, jak i w obszarze hotelarstwa czy gastronomii. Pobierz:   Instrukcja obsługi                    (297 KB) 
16;  Lucande Sakina lampa wisząca LED czarna Ø 49cm ;34;"https://lw-cdn.com/images/0C992EDADF0A/k_f138cd8bd16664dd60e9c8212cc7bf9b;w_353;h_353;q_70/lucande-sakina-lampa-wiszaca-led-czarna-o-49cm.jpg"; 457,64zł ;Lampa wisząca Swinging LED Sakina wykonana z żelaza o ciekawym kształcie  Lampa wisząca LED Sakina przekonuje swoim efektownym wyglądem. Klosz, wykonany z żelaza i aluminium, składa się z wąskiej rozpórki, która porusza się wokół siebie w sposób wymiatający. Stałe diody LED biegną wzdłuż tej belki, które wytwarzają ciepłe białe światło i rozdzielają je w pomieszczeniu w niezwykły sposób. Nowoczesny i różnorodny design sprawia, że doskonale nadaje się do salonu lub jadalni i stanowi miłe uzupełnienie wystroju wnętrza. Ponadto posiada on praktyczne funkcje techniczne, które zapewniają pewien stopień elastyczności w oświetleniu. Wyłącznik ścienny umożliwia włączanie i wyłączanie światła jak zwykle. Dzięki 3-stopniowej technologii ściemniania ze zintegrowaną funkcją wyłączania, można ją również przyciemnić do trzech różnych poziomów jasności poprzez kilkakrotne naciśnięcie przełącznika: 100 %, 40 % i 10 %. Wisząca oprawa Sakina LED tworzy efektowne akcenty na sufitach mieszkań i może być łatwo zintegrowana z nowoczesnym stylem wyposażenia. Pobierz:   Instrukcja obsługi                    (331 KB) 
17;  Lucande Lounit lampa wisząca, czarno-złota, 1-pkt. ;34;"https://lw-cdn.com/images/CD4F37B7EAFC/k_296869f44b3b40537c58d81d7509f7f1;w_353;h_353;q_70/lucande-lounit-lampa-wiszaca-czarno-zlota-1-pkt.jpg"; 398,29zł ;Lampa wisząca o szlachetnym wzornictwie Lounit z metalowym kloszem w kolorze czarnym i złotym  W tej oprawie wiszącej pojedyncze, owalne, zaokrąglone, podłużne, metalowe segmenty są przymocowane do ramy oprawy za pomocą systemu wtykowego i razem tworzą klosz, który może służyć do radykalnej reinterpretacji klasycznego klosza. Podczas gdy zachowuje znany, okrągły kształt i zwężający się ku górze, ogólny projekt wydaje się nowy i wyjątkowy. Napięcie optyczne wynika z żartobliwej lekkości konstrukcji i solidnej, mocnej ekspresji głównego materiału jakim jest metal. Wiadomo, że jest to nieprzezroczyste, ale układ elementów tworzy jednak atrakcyjny obraz świetlny z uroczymi efektami, które czasami pojawiają się również jako piękne gry światła i cienia w pomieszczeniu. Rezultatem jest przyjemne, lekkie oświetlenie otoczenia, które wydaje się być przyjemne i przytulne, a także dobre oświetlenie użytecznych powierzchni, które są oświetlane w sposób wiązany, dzięki czemu lampa wisząca zorientowana na design bardzo dobrze nadaje się do oświetlania powierzchni stołu. Pobierz:   Instrukcja obsługi                    (419 KB) 
18;  FLOS Smithfield S lampa wisząca ;34;"https://lw-cdn.com/images/A9BA0F2880C5/k_6e53c4c56e40e5cbc5646c7165b20588;w_353;h_353;q_70/flos-smithfield-s-lampa-wiszaca.jpg"; 2714,55zł ;Designerska lampa wisząca Smithfield marki FLOS  Lampa wisząca Smithfield jest wyposażona w cylindryczny i płaski klosz. Krawędzie są zaokrąglone u góry, dzięki czemu kształt wygląda bardzo nowocześnie. Poniżej, nad czterema źródłami światła, zamontowany jest dyfuzor z poliwęglanu, który rozprowadza światło równomiernie w dół. W ten sposób tabele mogą być użytecznie oświetlone. Smithfield może być również stosowany do oświetlenia ogólnego.  Lampa wisząca Smithfield została zaprojektowana przez Jaspera Morrisona i wyprodukowana w najwyższej jakości przez designerskiego producenta FLOS. Włoska firma znana jest ze współpracy z renomowanymi projektantami, a także z wysokiej jakości lamp Made in Italy. 
19;  MARKET SET Singapour XS lampa wisząca ;34;"https://lw-cdn.com/images/AA901BE7D020/k_1cd5a75489aeaa6f6be6b69bf29bb82c;w_353;h_353;q_70/market-set-singapour-xs-lampa-wiszaca.jpg";646,90zł;Oprawa wisząca Singapour XS z fascynującym efektem świetlnym  Ta oprawa wisząca jest czymś wyjątkowym: jej niezwykły design pochodzi z MARKET SET, marki, pod którą firma produkcyjna Corep SAS wprowadza na rynek innowacyjne projekty młodych, początkujących projektantów, z nową kolekcją każdego roku.  Szczególną atrakcją lampy Singapour XS jest klosz, a dokładniej połączenie dwóch różnej wielkości płóciennych kloszy i stożkowego klosza ze splotu rattanowego, umieszczonego pod dolnym kloszem z tkaniny. W trakcie emisji światła wyraźnie zaznacza się splot pod tkaniną. Oprawa wisząca, która idealnie nadaje się na przykład do nastrojowego oświetlenia stołu lub do oświetlenia podstawowego w salonach i sypialniach. Wyposażony w kabel tekstylny.  - ściemniane zewnętrznie 
20;  Lampa wisząca LED Narisa 5xG9, Ø47cm, biała ;34;"https://lw-cdn.com/images/F18AF4338FCC/k_f9a16c51931ef73ae942c7714cd9d570;w_353;h_353;q_70/lampa-wiszaca-led-narisa-5xg9-o47cm-biala.jpg";1268,21zł;
21;  Axolight Mountain View lampa przezroczysty-chrom ;34;"https://lw-cdn.com/images/5FA918BA9A42/k_ecbc3f8e0bf32bea72dbf539154e829e;w_353;h_353;q_70/axolight-mountain-view-lampa-przezroczysty-chrom.jpg"; 7536,50zł ;Designerska lampa wisząca Mountain View ma zapierający dech w piersiach widok  Projektując tę nadzwyczajną lampę wisząca LED, rosyjski projektant Dima Loginoff wykonał kawał dobrej roboty: Jasność klasycznie ukształtowanego szklanego klosza z dmuchanego szkła stanowi perfekcyjną ramę dla górskiego masywu, który rozpościera się pod ochronnym szkłem, niczym zabezpieczony na wieczność. Górski krajobraz ze wszystkimi dolinami i wzniesieniami jest oświetlany przez zamontowane na środku u góry źródło światła LED o barwie ciepłej bieli, dzięki czemu powstaje wrażenie, jakby południowe słońce znajdowało się w zenicie, oświetlając góry pełnym blaskiem. Unikatowy wygląd Mountain View w połączeniu z najróżniejszymi stylami urządzenia wnętrz jest elementem przyciągającym wzrok, którego urokowi nie oprze się żaden obserwator. Ponadto ta ekstrawagancka designerska lampa wisząca LED włoskiego producenta lamp Axo Light, którego początki sięgają roku 1996 i który jest znany ze swoich wysokiej jakości produktów do przyjemnego oświetlenia otoczenia, które jest niezbędne dla stworzenia przytulnej atmosfery 
22;  Louis Poulsen PH 4/3 – lampa wisząca, 40 cm ;34;"https://lw-cdn.com/images/3EAABC1959B6/k_399fc7c666850aee54f2848eb32b8f2b;w_353;h_353;q_70/louis-poulsen-ph-4-3-lampa-wiszaca-40-cm.jpg";2030,00zł;Atrakcyjnie zaprojektowana lampa wisząca PH 4/3 – 40 cm średnicy  Lampa wisząca PH 4/3 wygląda bardzo dekoracyjnie, gdy jest wyłączona. Ma ona bowiem atrakcyjny potrójny klosz. Gdy tylko światło zostanie włączone, ujawnia się prawdziwe piękno tego sprawdzonego i wizualnie ciągle nowego źródła światła.  Ponadczasowość designu sprawia, że obserwator nawet nie przypuszcza, że potrójna struktura klosza istnieje od 1925/26 roku, kiedy to duński projektant Poul Henningsen stworzył ten właśnie wariant, starając się uzyskać lampę, emitującą światło, które zupełnie nie oślepia. Podobnie jak klosze z tamtych czasów, tak samo i dziś klosz lampy wiszącej PH 4/3 wykonany jest z metalu, w tym przypadku z ciągnionego aluminium, lakierowanego na biało.  Światło emitowane przez lampę jest skierowane głównie w dół i bardzo równomiernie i komfortowo oświetla otoczenie, na przykład w jadalni.  Firma oświetleniowa Louis Poulsen przywiązuje dużą wagę do maksymy „forma podąża za funkcją”, która zapewnia, że światło jest uwzględnione w projektach i że produkty wyglądają estetycznie, gdy są włączone i wyłączone. Pobierz:   Instrukcja obsługi                    (837 KB)    Photometric Data LDT                    (837 Bytes) 
23;  New Works Tense lampa wisząca LED, recykling 100% ;34;"https://lw-cdn.com/images/101C071FB8F8/k_8ab76fed3f6292dcde6ee8619d0d7f75;w_353;h_353;q_70/new-works-tense-lampa-wiszaca-led-recykling-100.jpg";2228,90zł;Wyrazista lampa wisząca LED Tense wykonana z materiału Tyvek nadającego się w 100% do recyklingu  Lampa wisząca Tense prezentuje się wdzięcznie i z pewną lekkością, która potrafi przekonać do siebie zarówno w nowoczesnych salonach, jak i w pomieszczeniach komercyjnych. Klosz, który składa się z papierowego i półprzezroczystego materiału Tyvek, w 100% nadaje się do recyklingu, a jego zwiewny wygląd przypomina delikatną chmurę. Innowacyjną konstrukcję oświetla najnowocześniejsza technologia oświetleniowa LED.  Lampa wisząca Tense pochodzi od New Works, duńskiego producenta oświetlenia, którego projekty oświetleniowe opierają się na skandynawskiej historii rzemiosła i materiałowości. Projektanci Panter & Tourron stworzyli w ten sposób oprawę oświetleniową, która swoim designem przesuwa granice współczesnego wzornictwa. 
